!   mu    Theta      P11          P12          P33          P34
  0.7145  44.40      0.86184      0.06865      0.81726      0.02530
  0.7110  44.68      0.84489      0.06788      0.80054      0.02441
  0.7075  44.96      0.82834      0.06775      0.78410      0.02352
  0.7040  45.25      0.81224      0.06801      0.76794      0.02312
  0.7005  45.53      0.79647      0.06815      0.75204      0.02342
  0.6970  45.81      0.78088      0.06770      0.73642      0.02412
  0.6934  46.10      0.76541      0.06665      0.72109      0.02464
  0.6899  46.38      0.75013      0.06538      0.70612      0.02455
  0.6863  46.66      0.73521      0.06442      0.69151      0.02392
  0.6827  46.95      0.72075      0.06401      0.67727      0.02320
  0.6791  47.23      0.70670      0.06392      0.66336      0.02282
  0.6754  47.51      0.69294      0.06368      0.64972      0.02286
  0.6718  47.80      0.67934      0.06300      0.63629      0.02300
  0.6681  48.08      0.66583      0.06199      0.62300      0.02287
  0.6644  48.36      0.65242      0.06104      0.60978      0.02236
  0.6607  48.65      0.63914      0.06045      0.59665      0.02174
  0.6570  48.93      0.62611      0.06020      0.58371      0.02139
  0.6532  49.21      0.61345      0.05996      0.57114      0.02148
  0.6495  49.50      0.60121      0.05943      0.55905      0.02182
  0.6457  49.78      0.58931      0.05855      0.54739      0.02200
  0.6419  50.06      0.57759      0.05755      0.53595      0.02175
  0.6381  50.35      0.56592      0.05672      0.52457      0.02111
  0.6343  50.63      0.55437      0.05621      0.51323      0.02042
  0.6305  50.91      0.54310      0.05591      0.50210      0.02004
  0.6267  51.20      0.53222      0.05557      0.49133      0.02007
  0.6228  51.48      0.52167      0.05495      0.48093      0.02030
  0.6189  51.76      0.51127      0.05401      0.47076      0.02036
  0.6150  52.05      0.50089      0.05298      0.46065      0.02005
  0.6111  52.33      0.49053      0.05214      0.45053      0.01948
  0.6072  52.61      0.48030      0.05160      0.44054      0.01900
  0.6033  52.90      0.47036      0.05122      0.43084      0.01880
  0.5993  53.18      0.46082      0.05076      0.42154      0.01881
  0.5954  53.46      0.45159      0.05006      0.41252      0.01878
  0.5914  53.75      0.44248      0.04919      0.40357      0.01853
  0.5874  54.03      0.43333      0.04833      0.39454      0.01811
  0.5834  54.31      0.42417      0.04765      0.38551      0.01771
  0.5794  54.59      0.41519      0.04715      0.37673      0.01752
  0.5753  54.88      0.40660      0.04668      0.36837      0.01754
  0.5713  55.16      0.39838      0.04604      0.36043      0.01762
  0.5672  55.44      0.39036      0.04520      0.35271      0.01752
  0.5631  55.73      0.38236      0.04430      0.34503      0.01713
  0.5590  56.01      0.37435      0.04355      0.33731      0.01655
  0.5549  56.29      0.36645      0.04304      0.32962      0.01601
  0.5508  56.58      0.35875      0.04266      0.32207      0.01576
  0.5467  56.86      0.35128      0.04215      0.31470      0.01579
  0.5425  57.14      0.34398      0.04140      0.30753      0.01591
  0.5384  57.43      0.33680      0.04046      0.30055      0.01586
  0.5342  57.71      0.32973      0.03956      0.29372      0.01554
  0.5300  57.99      0.32279      0.03890      0.28704      0.01506
  0.5258  58.28      0.31597      0.03846      0.28045      0.01466
  0.5216  58.56      0.30925      0.03809      0.27393      0.01449
  0.5174  58.84      0.30264      0.03759      0.26751      0.01453
  0.5131  59.13      0.29617      0.03687      0.26125      0.01457
  0.5089  59.41      0.28987      0.03601      0.25519      0.01445
  0.5046  59.69      0.28375      0.03515      0.24930      0.01413
  0.5004  59.98      0.27779      0.03444      0.24353      0.01370
  0.4961  60.26      0.27197      0.03391      0.23789      0.01330
  0.4918  60.54      0.26629      0.03349      0.23238      0.01305
  0.4875  60.83      0.26073      0.03303      0.22699      0.01295
  0.4831  61.11      0.25522      0.03243      0.22165      0.01291
  0.4788  61.39      0.24971      0.03168      0.21632      0.01284
  0.4745  61.68      0.24423      0.03086      0.21101      0.01267
  0.4701  61.96      0.23889      0.03011      0.20583      0.01241
  0.4657  62.24      0.23377      0.02951      0.20086      0.01214
  0.4614  62.53      0.22888      0.02902      0.19608      0.01191
  0.4570  62.81      0.22411      0.02854      0.19142      0.01175
  0.4526  63.09      0.21937      0.02800      0.18682      0.01163
  0.4481  63.38      0.21462      0.02738      0.18225      0.01150
  0.4437  63.66      0.20991      0.02673      0.17776      0.01134
  0.4393  63.94      0.20531      0.02609      0.17338      0.01117
  0.4348  64.23      0.20084      0.02546      0.16911      0.01096
  0.4304  64.51      0.19650      0.02486      0.16489      0.01073
  0.4259  64.79      0.19225      0.02431      0.16071      0.01051
  0.4214  65.07      0.18812      0.02379      0.15663      0.01035
  0.4169  65.36      0.18416      0.02328      0.15275      0.01025
  0.4124  65.64      0.18037      0.02274      0.14910      0.01016
  0.4079  65.92      0.17663      0.02216      0.14559      0.00998
  0.4034  66.21      0.17283      0.02159      0.14202      0.00970
  0.3989  66.49      0.16892      0.02104      0.13827      0.00938
  0.3944  66.77      0.16500      0.02051      0.13441      0.00914
  0.3898  67.06      0.16127      0.01998      0.13066      0.00904
  0.3853  67.34      0.15784      0.01943      0.12721      0.00903
  0.3807  67.62      0.15466      0.01888      0.12408      0.00901
  0.3761  67.91      0.15157      0.01836      0.12114      0.00890
  0.3715  68.19      0.14843      0.01787      0.11819      0.00868
  0.3669  68.47      0.14522      0.01740      0.11515      0.00841
  0.3623  68.76      0.14201      0.01691      0.11204      0.00816
  0.3577  69.04      0.13886      0.01639      0.10894      0.00800
  0.3531  69.32      0.13580      0.01584      0.10592      0.00791
  0.3485  69.61      0.13284      0.01527      0.10303      0.00784
  0.3438  69.89      0.12996      0.01475      0.10028      0.00775
  0.3392  70.17      0.12720      0.01432      0.09768      0.00763
  0.3345  70.46      0.12456      0.01396      0.09518      0.00748
  0.3299  70.74      0.12197      0.01360      0.09270      0.00731
  0.3252  71.02      0.11941      0.01319      0.09023      0.00713
  0.3205  71.31      0.11685      0.01270      0.08776      0.00693
  0.3158  71.59      0.11433      0.01219      0.08534      0.00672
  0.3111  71.87      0.11185      0.01176      0.08297      0.00651
  0.3064  72.16      0.10941      0.01142      0.08063      0.00637
  0.3017  72.44      0.10703      0.01113      0.07831      0.00632
  0.2970  72.72      0.10475      0.01079      0.07605      0.00636
  0.2923  73.01      0.10260      0.01033      0.07391      0.00642
  0.2875  73.29      0.10054      0.00979      0.07190      0.00640
  0.2828  73.57      0.09848      0.00922      0.06999      0.00625
  0.2781  73.86      0.09636      0.00873      0.06808      0.00598
  0.2733  74.14      0.09420      0.00837      0.06614      0.00567
  0.2686  74.42      0.09210      0.00813      0.06418      0.00543
  0.2638  74.70      0.09012      0.00793      0.06226      0.00528
  0.2590  74.99      0.08829      0.00770      0.06042      0.00523
  0.2542  75.27      0.08655      0.00741      0.05868      0.00522
  0.2495  75.55      0.08487      0.00710      0.05703      0.00523
  0.2447  75.84      0.08318      0.00677      0.05545      0.00523
  0.2399  76.12      0.08146      0.00644      0.05388      0.00522
  0.2351  76.40      0.07968      0.00606      0.05227      0.00517
  0.2303  76.69      0.07788      0.00566      0.05061      0.00507
  0.2254  76.97      0.07615      0.00525      0.04899      0.00493
  0.2206  77.25      0.07459      0.00490      0.04749      0.00477
  0.2158  77.54      0.07320      0.00462      0.04615      0.00461
  0.2110  77.82      0.07189      0.00440      0.04488      0.00448
  0.2061  78.10      0.07053      0.00419      0.04358      0.00439
  0.2013  78.39      0.06907      0.00393      0.04218      0.00434
  0.1965  78.67      0.06757      0.00363      0.04073      0.00431
  0.1916  78.95      0.06616      0.00332      0.03933      0.00429
  0.1867  79.24      0.06490      0.00303      0.03807      0.00424
  0.1819  79.52      0.06377      0.00280      0.03694      0.00417
  0.1770  79.80      0.06265      0.00259      0.03589      0.00412
  0.1722  80.09      0.06148      0.00234      0.03484      0.00408
  0.1673  80.37      0.06022      0.00202      0.03372      0.00403
  0.1624  80.65      0.05895      0.00166      0.03256      0.00393
  0.1575  80.94      0.05775      0.00135      0.03139      0.00376
  0.1526  81.22      0.05663      0.00117      0.03028      0.00358
  0.1478  81.50      0.05559      0.00111      0.02924      0.00346
  0.1429  81.79      0.05461      0.00109      0.02829      0.00347
  0.1380  82.07      0.05365      0.00099      0.02739      0.00358
  0.1331  82.35      0.05271      0.00074      0.02652      0.00369
  0.1282  82.64      0.05178      0.00035      0.02564      0.00370
  0.1233  82.92      0.05083     -0.00007      0.02472      0.00356
  0.1184  83.20      0.04988     -0.00038      0.02377      0.00330
  0.1135  83.49      0.04894     -0.00053      0.02285      0.00307
  0.1085  83.77      0.04805     -0.00056      0.02201      0.00295
  0.1036  84.05      0.04719     -0.00055      0.02128      0.00294
  0.0987  84.34      0.04637     -0.00060      0.02062      0.00299
  0.0938  84.62      0.04560     -0.00072      0.01997      0.00301
  0.0889  84.90      0.04487     -0.00089      0.01927      0.00298
  0.0839  85.18      0.04417     -0.00108      0.01853      0.00293
  0.0790  85.47      0.04348     -0.00128      0.01776      0.00290
  0.0741  85.75      0.04275     -0.00149      0.01700      0.00288
  0.0692  86.03      0.04198     -0.00170      0.01627      0.00286
  0.0642  86.32      0.04121     -0.00188      0.01560      0.00282
  0.0593  86.60      0.04049     -0.00201      0.01501      0.00275
  0.0544  86.88      0.03987     -0.00211      0.01447      0.00269
  0.0494  87.17      0.03930     -0.00221      0.01395      0.00264
  0.0445  87.45      0.03874     -0.00233      0.01342      0.00261
  0.0395  87.73      0.03816     -0.00243      0.01287      0.00257
  0.0346  88.02      0.03758     -0.00246      0.01233      0.00253
  0.0297  88.30      0.03701     -0.00242      0.01182      0.00249
  0.0247  88.58      0.03648     -0.00238      0.01134      0.00249
  0.0198  88.87      0.03598     -0.00243      0.01086      0.00254
  0.0148  89.15      0.03548     -0.00264      0.01035      0.00262
  0.0099  89.43      0.03497     -0.00298      0.00981      0.00266
  0.0049  89.72      0.03446     -0.00332      0.00927      0.00263
  0.0000  90.00      0.03398     -0.00352      0.00877      0.00250
 -0.0049  90.28      0.03353     -0.00351      0.00833      0.00234
 -0.0099  90.57      0.03312     -0.00333      0.00797      0.00222
 -0.0148  90.85      0.03272     -0.00312      0.00767      0.00221
 -0.0198  91.13      0.03230     -0.00301      0.00739      0.00229
 -0.0247  91.42      0.03186     -0.00304      0.00707      0.00240
 -0.0297  91.70      0.03142     -0.00322      0.00669      0.00247
 -0.0346  91.98      0.03104     -0.00344      0.00624      0.00247
 -0.0395  92.27      0.03073     -0.00366      0.00579      0.00240
