!   mu    Theta      P11          P12          P33          P34
 -0.7086 135.12      0.16421     -0.03428      0.01158      0.13441
 -0.7200 136.06      0.17325     -0.03947      0.01343      0.14207
 -0.7313 137.00      0.18237     -0.04529      0.01554      0.14945
 -0.7424 137.94      0.19144     -0.05172      0.01791      0.15635
 -0.7533 138.88      0.20029     -0.05871      0.02056      0.16255
 -0.7640 139.82      0.20874     -0.06620      0.02352      0.16782
 -0.7745 140.76      0.21663     -0.07409      0.02679      0.17190
 -0.7847 141.70      0.22374     -0.08221      0.03037      0.17456
 -0.7948 142.64      0.22990     -0.09040      0.03428      0.17556
 -0.8047 143.58      0.23495     -0.09841      0.03851      0.17471
 -0.8143 144.52      0.23873     -0.10598      0.04305      0.17187
 -0.8237 145.46      0.24113     -0.11280      0.04786      0.16695
 -0.8329 146.40      0.24209     -0.11856      0.05291      0.15992
 -0.8419 147.34      0.24161     -0.12293      0.05814      0.15088
 -0.8506 148.28      0.23978     -0.12560      0.06350      0.14001
 -0.8591 149.22      0.23672     -0.12628      0.06889      0.12759
 -0.8674 150.16      0.23264     -0.12473      0.07420      0.11400
 -0.8754 151.10      0.22780     -0.12081      0.07934      0.09969
 -0.8832 152.04      0.22255     -0.11445      0.08418      0.08522
 -0.8908 152.98      0.21726     -0.10569      0.08863      0.07114
 -0.8982 153.92      0.21230     -0.09469      0.09257      0.05806
 -0.9052 154.86      0.20805     -0.08170      0.09591      0.04650
 -0.9121 155.80      0.20482     -0.06710      0.09855      0.03696
 -0.9187 156.74      0.20291     -0.05134      0.10044      0.02979
 -0.9250 157.68      0.20250     -0.03493      0.10153      0.02522
 -0.9312 158.62      0.20373     -0.01842      0.10183      0.02330
 -0.9370 159.56      0.20665     -0.00234      0.10146      0.02392
 -0.9426 160.50      0.21133      0.01283      0.10071      0.02687
 -0.9480 161.44      0.21797      0.02670      0.10012      0.03202
 -0.9531 162.38      0.22701      0.03910      0.10047      0.03947
 -0.9579 163.32      0.23929      0.05007      0.10283      0.04964
 -0.9625 164.26      0.25614      0.05992      0.10850      0.06325
 -0.9668 165.20      0.27919      0.06920      0.11883      0.08095
 -0.9709 166.13      0.31002      0.07861      0.13493      0.10275
 -0.9747 167.07      0.34931      0.08875      0.15737      0.12712
 -0.9782 168.01      0.39566      0.09971      0.18594      0.15020
 -0.9815 168.95      0.44453      0.11050      0.21941      0.16551
 -0.9845 169.89      0.48783      0.11856      0.25500      0.16502
 -0.9872 170.83      0.51513      0.11967      0.28727      0.14172
 -0.9897 171.77      0.51674      0.10915      0.30683      0.09316
 -0.9919 172.71      0.48861      0.08412      0.30004      0.02434
 -0.9939 173.65      0.43753      0.04609      0.25121     -0.05191
 -0.9956 174.59      0.38397      0.00254      0.14825     -0.11761
 -0.9970 175.53      0.35851     -0.03445     -0.00987     -0.15489
 -0.9981 176.47      0.38887     -0.05296     -0.20779     -0.15290
 -0.9990 177.41      0.48068     -0.04816     -0.41459     -0.11436
 -0.9996 178.35      0.60437     -0.02707     -0.59148     -0.05802
 -0.9999 179.28      0.70359     -0.00609     -0.70308     -0.01243
